Year,WHO region,Country,Beverage Types,Display Value
1987,Europe,Ireland,Beer,7.49
1986,Africa,Uganda,Wine,0
1987,Africa,Swaziland,Beer,0
1984,Americas,Canada,Spirits,3.35
1985,Western Pacific,Cambodia,Other,
1989,Europe,Czech Republic,Other,
1986,Africa,Cabo Verde,Spirits,0.44
1989,Eastern Mediterranean,United Arab Emirates,Spirits,3.69
1989,Americas,Peru,Spirits,2.99
1987,Americas,Costa Rica,Beer,0.83
1985,Europe,Czech Republic,Spirits,4.61
1987,Europe,Belgium,Beer,7.42
1986,Americas,Saint Kitts and Nevis,Beer,1.25
1985,Europe,Portugal,Spirits,0.54
1985,Western Pacific,Solomon Islands,Other,0
1985,Africa,United Republic of Tanzania,Spirits,0.14
1985,Africa,Chad,Beer,0.34
1984,Americas,Cuba,Spirits,2.06
1989,Americas,Trinidad and Tobago,Beer,2.27
1989,Americas,Guyana,Spirits,8.9
1984,Americas,Costa Rica,Beer,0.58
1985,Western Pacific,Mongolia,Other,0
1984,Eastern Mediterranean,Iraq,Wine,0.01
1987,Americas,Saint Kitts and Nevis,Wine,0.43
1987,Europe,Ukraine,Beer,1.45
1986,Europe,Norway,Other,0
1987,Eastern Mediterranean,Iran (Islamic Republic of),Spirits,0
1987,Europe,Israel,Spirits,0.74
1986,Western Pacific,Australia,Spirits,1.57
1984,Africa,Sao Tome and Principe,Spirits,0.01
1987,Americas,Peru,Beer,3.12
1984,Europe,Spain,Spirits,3.68
1985,Europe,Greece,Spirits,3.49
1989,Eastern Mediterranean,Bahrain,Spirits,3.56
1985,Africa,Zambia,Other,2.07
1984,Europe,Slovenia,Beer,3.42
1987,Africa,Zimbabwe,Wine,0.03
1989,Africa,Benin,Beer,0.99
1984,Africa,Algeria,Spirits,0.01
1986,Africa,Togo,Beer,2.21
